cell,cell_ontology_class,tissue
F12.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
L18.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
N8.MAA000926.3_9_M.1.1,neuron,Brain_Non-Myeloid
P10.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
B14.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
H18.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
G14.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
G19.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
M8.MAA000940.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
M8.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
B3.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
H5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
B1.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
A9.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D11.MAA000638.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
E13.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
J18.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
E5.B003290.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
C5.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
H21.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C12.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
O20.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
A21.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
P8.B000404.3_56_F.1.1,neuron,Brain_Non-Myeloid
F17.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J8.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
G22.MAA000947.3_9_M.1.1,neuron,Brain_Non-Myeloid
M10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
M18.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
I9.MAA000641.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
F1.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
A15.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H12.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C13.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
